open,high,low,close,volume,date
90.19,93.17,90.07,92.31,392350.0,2022-02-04
91.82,92.73,90.73,91.32,463483.0,2022-02-07
91.64,91.68,88.51,89.36,429214.0,2022-02-08
89.86,90.58,88.41,89.66,408290.0,2022-02-09
90.01,91.74,89.03,89.88,455913.0,2022-02-10
90.0,94.66,89.19,93.1,518340.0,2022-02-11
93.91,95.82,92.09,95.46,437005.0,2022-02-14
94.83,95.17,90.66,92.07,401815.0,2022-02-15
92.21,95.01,90.0,93.66,361057.0,2022-02-16
90.9,93.36,90.62,91.76,188922.0,2022-02-17
91.63,92.66,89.03,91.07,98808.0,2022-02-18
94.54,96.0,92.0,92.35,28595.0,2022-02-22
91.74,93.9,90.64,92.1,428121.0,2022-02-23
92.52,100.54,91.45,92.81,851002.0,2022-02-24
93.32,95.64,90.06,91.59,502277.0,2022-02-25
94.99,99.1,94.43,95.72,463872.0,2022-02-28
96.09,106.78,95.32,103.41,674932.0,2022-03-01
107.12,112.51,105.18,110.6,628163.0,2022-03-02
111.33,116.57,106.43,107.67,574369.0,2022-03-03
107.96,116.02,107.25,115.68,472183.0,2022-03-04
121.33,130.5,115.54,119.4,541864.0,2022-03-07
120.67,129.44,117.07,123.7,555762.0,2022-03-08
124.66,126.84,103.63,108.7,566583.0,2022-03-09
110.41,114.88,105.53,106.02,401484.0,2022-03-10
105.99,110.29,104.48,109.33,329393.0,2022-03-11
109.42,109.72,99.76,103.01,312356.0,2022-03-14
102.28,102.58,93.53,96.44,369225.0,2022-03-15
95.23,99.22,94.07,95.04,271220.0,2022-03-16
95.34,104.24,94.85,102.98,184057.0,2022-03-17
103.62,106.28,102.3,104.7,57288.0,2022-03-18
105.13,112.69,104.08,112.12,39803.0,2022-03-21
112.9,115.01,109.3,111.76,16841.0,2022-03-22
108.85,115.4,108.38,114.93,270946.0,2022-03-23
114.47,116.64,110.61,112.34,293172.0,2022-03-24
111.75,114.12,108.68,113.9,299911.0,2022-03-25
112.92,112.93,102.83,105.96,354375.0,2022-03-28
103.47,107.84,98.44,104.24,371233.0,2022-03-29
105.24,108.75,104.55,107.82,266301.0,2022-03-30
107.45,107.8,99.66,100.28,432263.0,2022-03-31
101.23,101.75,97.78,99.27,305041.0,2022-04-01
98.95,103.94,98.05,103.28,269786.0,2022-04-04
103.66,105.59,99.88,101.96,263168.0,2022-04-05
101.24,104.02,95.73,96.23,342749.0,2022-04-06
97.16,98.82,93.81,96.03,326388.0,2022-04-07
97.17,98.76,95.29,98.26,274803.0,2022-04-08
98.4,98.52,92.93,94.29,276968.0,2022-04-11
95.17,101.35,94.84,100.6,293089.0,2022-04-12
100.91,104.47,99.87,104.25,271093.0,2022-04-13
104.2,107.64,102.12,106.95,211055.0,2022-04-14
107.03,109.81,106.0,108.21,49567.0,2022-04-18
107.75,108.92,102.07,102.56,39654.0,2022-04-19
103.05,104.16,100.7,102.75,12340.0,2022-04-20
102.5,105.42,102.01,103.79,263513.0,2022-04-21
104.07,104.22,101.06,102.07,231104.0,2022-04-22
101.38,101.55,95.28,98.54,313420.0,2022-04-25
98.64,102.78,97.06,101.7,335929.0,2022-04-26
101.76,102.99,99.8,102.02,263567.0,2022-04-27
102.11,105.68,100.13,105.36,295001.0,2022-04-28
105.17,107.99,103.78,104.69,276730.0,2022-04-29
104.0,105.94,100.28,105.17,246170.0,2022-05-02
105.08,105.8,102.1,102.41,224561.0,2022-05-03
103.5,108.61,102.95,107.81,258895.0,2022-05-04
107.58,111.37,106.45,108.26,274172.0,2022-05-05
108.7,111.18,107.24,109.77,262720.0,2022-05-06
110.43,110.49,102.13,103.09,333300.0,2022-05-09
102.65,104.16,98.86,99.76,352536.0,2022-05-10
99.0,106.44,98.2,105.71,343694.0,2022-05-11
105.63,107.37,102.66,106.13,290935.0,2022-05-12
106.65,110.64,106.29,110.49,215051.0,2022-05-13
110.98,114.9,108.11,114.2,258919.0,2022-05-16
113.87,115.56,111.75,112.4,227443.0,2022-05-17
113.66,115.42,108.46,109.59,87719.0,2022-05-18
109.09,112.62,105.13,112.21,36889.0,2022-05-19
111.45,114.04,110.85,113.23,12699.0,2022-05-20
110.56,111.96,109.15,110.29,204150.0,2022-05-23
110.41,111.43,108.61,109.77,214622.0,2022-05-24
110.39,111.68,109.23,110.33,179473.0,2022-05-25
110.69,114.83,110.27,114.09,219909.0,2022-05-26
114.2,115.3,112.85,115.07,203136.0,2022-05-27
